 Displacement; Horse_power; Weight; Acceleration; Model_year;Cylinders; Origin; Mpg
400;175;5140;12;71;8;1;13
97;78;2300;14.5;74;4;2;26
200;85;2965;15.8;78;6;1;20.2
318;150;3436;11;70;8;1;18
199;97;2774;15.5;70;6;1;18
258;120;3410;15.1;78;6;1;18.1
68;49;1867;19.5;73;4;2;29
250;105;3459;16;75;6;1;18
98;68;2135;16.6;78;4;3;29.5
90;70;1937;14.2;76;4;2;29
198;95;2904;16;73;6;1;23
121;113;2234;12.5;70;4;2;26
71;65;1836;21;74;4;3;32
360;215;4615;14;70;8;1;10
97;88;2130;14.5;70;4;3;27
134;95;2515;14.8;78;4;3;21.1
121;67;2950;19.9;80;5;2;36.4
302;129;3169;12;75;8;1;13
121;115;2671;13.5;75;4;2;25
258;110;2962;13.5;71;6;1;18
250;72;3432;21;75;6;1;15
98;83;2075;15.9;77;4;1;33.5
122;88;2500;15.1;80;4;2;35
351;153;4154;13.5;71;8;1;14
70;90;2124;13.5;73;3;3;18
232;100;3288;15.5;71;6;1;18
225;110;3620;18.7;78;6;1;18.6
156;92;2585;14.5;82;4;1;26
114;91;2582;14;73;4;2;20
90;71;2223;16.5;75;4;2;25
119;92;2434;15;80;4;3;37
318;210;4382;13.5;70;8;1;11
120;79;2625;18.6;82;4;1;28
250;88;3021;16.5;73;6;1;18
350;145;3988;13;73;8;1;13
141;71;3190;24.8;79;4;2;27.2
225;105;3121;16.5;73;6;1;18
350;155;4360;14.9;79;8;1;16.9
108;94;2379;16.5;73;4;3;22
200;85;2587;16;70;6;1;21
98;68;2155;16.5;78;4;1;30
104;95;2375;17.5;70;4;2;25
76;52;1649;16.5;74;4;3;31
302;130;3870;15;76;8;1;13
122;86;2220;14;71;4;1;23
78;52;1985;19.4;78;4;3;32.8
231;105;3380;15.8;78;6;1;20.6
250;110;3645;16.2;76;6;1;18.5
91;60;1800;16.4;78;4;3;36.1
90;75;2108;15.5;74;4;2;24
97;67;2145;18;80;4;3;33.8
440;215;4735;11;73;8;1;13
318;145;4140;13.7;77;8;1;15.5
146;120;2930;13.8;81;6;3;24.2
116;75;2246;14;74;4;2;26
86;65;1975;15.2;79;4;3;34.1
80;110;2720;13.5;77;3;3;21.5
250;98;3525;19;77;6;1;18.5
305;145;3425;13.2;78;8;1;19.2
400;150;3761;9.5;70;8;1;15
318;150;4096;13;71;8;1;14
198;95;3102;16.5;74;6;1;20
91;67;1995;16.2;82;4;3;38
130;102;3150;15.7;76;4;2;20
232;90;3210;17.2;78;6;1;19.4
200;95;3155;18.2;78;6;1;20.5
383;180;4955;11.5;71;8;1;12
350;180;3664;11;73;8;1;11
307;200;4376;15;70;8;1;10
318;150;4190;13;76;8;1;16
85;70;2070;18.6;78;4;3;39.4
91;53;1795;17.4;76;4;3;33
225;105;3439;15.5;71;6;1;16
112;88;2640;18.6;82;4;1;27
231;105;3425;16.9;77;6;1;20.5
350;165;4209;12;71;8;1;14
350;160;4456;13.5;72;8;1;12
351;148;4657;13.5;75;8;1;14
198;95;2833;15.5;70;6;1;22
400;180;4220;11.1;77;8;1;16
120;88;2957;17;75;4;2;23
122;86;2395;16;72;4;1;22
97;75;2265;18.2;77;4;3;26
121;112;2933;14.5;72;4;2;18
141;80;3230;20.4;81;4;2;28.1
250;105;3353;14.5;76;6;1;22
97;75;2171;16;75;4;3;29
173;110;2725;12.6;81;6;1;23.5
90;48;1985;21.5;78;4;2;43.1
121;76;2511;18;72;4;2;22
304;193;4732;18.5;70;8;1;9
79;58;1825;18.6;77;4;2;36
400;167;4906;12.5;73;8;1;12
350;180;4499;12.5;73;8;1;12
318;135;3830;15.2;79;8;1;18.2
79;67;1963;15.5;74;4;2;26
91;53;1795;17.5;75;4;3;33
151;90;2950;17.3;82;4;1;27
134;90;2711;15.5;80;4;3;29.8
97;78;2188;15.8;80;4;2;34.3
156;105;2800;14.4;80;4;1;27.9
119;100;2615;14.8;81;4;3;32.9
140;89;2755;15.8;77;4;1;25.5
140;75;2542;17;74;4;1;25
305;140;4215;13;76;8;1;17.5
90;48;2335;23.7;80;4;2;43.4
85;65;1975;19.4;81;4;3;37
112;88;2395;18;82;4;1;34
119;97;2545;17;75;4;3;24
97;78;2190;14.1;77;4;2;30.5
258;110;3632;18;74;6;1;16
98;66;1800;14.4;78;4;1;36.1
97;54;2254;23.5;72;4;2;23
140;88;2890;17.3;79;4;1;22.3
79;58;1755;16.9;81;4;3;39.1
318;150;3940;13.2;76;8;1;13
351;142;4054;14.3;79;8;1;15.5
350;165;4274;12;72;8;1;13
98;68;2045;18.5;77;4;3;31.5
140;86;2790;15.6;82;4;1;27
231;165;3445;13.4;78;6;1;17.7
119;97;2405;14.9;78;4;3;23.9
400;150;4997;14;73;8;1;11
400;230;4278;9.5;73;8;1;16
350;125;3900;17.4;79;8;1;23
85;65;2110;19.2;80;4;3;40.8
121;110;2600;12.8;77;4;2;21.5
267;125;3605;15;79;8;1;19.2
171;97;2984;14.5;75;6;1;18
146;97;2815;14.5;77;6;3;22
116;81;2220;16.9;76;4;2;25
122;86;2226;16.5;72;4;1;21
304;150;3892;12.5;72;8;1;15
96;69;2189;18;72;4;2;26
140;78;2592;18.5;75;4;1;23
131;103;2830;15.9;78;5;2;20.3
89;60;1968;18.8;80;4;3;38.1
181;110;2945;16.4;82;6;1;25
350;150;4699;14.5;74;8;1;13
350;170;4165;11.4;77;8;1;15.5
97;46;1950;21;73;4;2;26
225;90;3381;18.7;80;6;1;19.1
250;110;3520;16.4;77;6;1;17.5
107;75;2210;14.4;81;4;3;33.7
232;100;2901;16;74;6;1;19
122;85;2310;18.5;73;4;1;19
91;67;1965;15;82;4;3;38
350;145;4082;13;73;8;1;15
140;90;2408;19.5;72;4;1;20
250;100;3336;17;74;6;1;15
151;90;2670;16;79;4;1;28.4
340;160;3609;8;70;8;1;14
97;67;2065;17.8;81;4;3;32.3
168;120;3820;16.7;76;6;2;16.5
91;68;1970;17.6;82;4;3;31
250;100;3278;18;73;6;1;16
304;150;4257;15.5;74;8;1;14
89;62;1845;15.3;80;4;2;29.8
151;90;3003;20.1;80;4;1;24.3
86;65;2019;16.4;80;4;3;37.2
151;85;2855;17.6;78;4;1;23.8
70;97;2330;13.5;72;3;3;19
97;78;1940;14.5;77;4;2;29
98;90;2265;15.5;73;4;2;26
455;225;4425;10;70;8;1;14
90;70;1937;14;75;4;2;29
108;70;2245;16.9;82;4;3;34
81;60;1760;16.1;81;4;3;35.1
307;130;4098;14;72;8;1;13
97;52;2130;24.6;82;4;2;44
111;80;2155;14.8;77;4;1;30
250;72;3158;19.5;75;6;1;15
97;88;2130;14.5;71;4;3;27
135;84;2525;16;82;4;1;29
89;71;1990;14.9;78;4;2;31.5
302;139;3570;12.8;78;8;1;20.2
105;74;2190;14.2;81;4;2;33
91;69;2130;14.7;79;4;2;37.3
225;95;3264;16;75;6;1;19
97;71;1825;12.2;76;4;2;29.5
360;175;3821;11;73;8;1;13
85;70;1990;17;76;4;3;32
120;88;3270;21.9;76;4;2;19
122;80;2451;16.5;74;4;1;26
350;180;4380;12.1;76;8;1;16.5
98;63;2051;17;77;4;1;30.5
151;90;2735;18;82;4;1;27
400;170;4746;12;71;8;1;13
135;84;2385;12.9;81;4;1;30
156;108;2930;15.5;76;6;3;19
113;95;2228;14;71;4;3;25
231;110;3039;15;75;6;1;21
232;112;2835;14.7;82;6;1;22
429;198;4952;11.5;73;8;1;12
350;175;4100;13;73;8;1;13
232;90;3265;18.2;79;6;1;20.2
91;67;1965;15.7;82;4;3;32
108;75;2265;15.2;80;4;3;32.2
135;84;2295;11.6;82;4;1;32
110;87;2672;17.5;70;4;2;25
260;110;3365;15.5;78;8;1;19.9
98;76;2144;14.7;80;4;2;41.5
400;170;4668;11.5;75;8;1;16
140;72;2401;19.5;73;4;1;21
302;140;3449;10.5;70;8;1;17
88;76;2065;14.5;71;4;2;30
105;70;2150;14.9;79;4;1;34.5
262;85;3015;17;82;6;1;38
91;67;1850;13.8;80;4;3;44.6
120;97;2489;15;74;4;3;24
151;90;2556;13.2;79;4;1;33.5
105;63;2215;14.9;81;4;1;34.7
97;75;2155;16.4;76;4;3;28
70;100;2420;12.5;80;3;3;23.7
146;67;3250;21.8;80;4;2;30
250;100;3282;15;71;6;1;19
107;72;2290;17;80;4;3;32.4
83;61;2003;19;74;4;3;32
200;85;2990;18.2;79;6;1;19.8
250;88;3302;15.5;71;6;1;19
231;110;3415;15.8;81;6;1;22.4
140;83;2639;17;75;4;1;23
302;140;4638;16;74;8;1;14
351;153;4129;13;72;8;1;14
318;150;4498;14.5;75;8;1;16
121;112;2868;15.5;73;4;2;19
140;92;2572;14.9;76;4;1;25
400;175;4385;12;72;8;1;14
140;72;2408;19;71;4;1;22
262;110;3221;13.5;75;8;1;20
85;52;2035;22.2;76;4;1;29
105;75;2230;14.5;78;4;1;30.9
305;130;3840;15.4;79;8;1;17
121;98;2945;14.5;75;4;2;22
302;130;4295;14.9;77;8;1;15
260;90;3420;22.2;79;8;1;23.9
304;120;3962;13.9;76;8;1;15.5
351;149;4335;14.5;77;8;1;16
108;75;2350;16.8;81;4;3;32.4
86;65;2110;17.9;80;4;3;46.6
151;84;2635;16.4;81;4;1;26.6
304;150;3672;11.5;73;8;1;14
